Date,Currency,Mean,Buy,Sell
29/05/2019,US DOLLAR,101.2778,101.1778,101.3778
30/05/2019,US DOLLAR,101.4011,101.3011,101.5011
31/05/2019,US DOLLAR,101.3556,101.2556,101.4556
03/06/2019,US DOLLAR,101.2872,101.1872,101.3872
04/06/2019,US DOLLAR,101.2806,101.1806,101.3806
06/06/2019,US DOLLAR,101.35,101.25,101.45
07/06/2019,US DOLLAR,101.3,101.2,101.4
10/06/2019,US DOLLAR,101.205,101.105,101.305
11/06/2019,US DOLLAR,101.2767,101.1767,101.3767
12/06/2019,US DOLLAR,101.3833,101.2833,101.4833
13/06/2019,US DOLLAR,101.3883,101.2883,101.4883
14/06/2019,US DOLLAR,101.5478,101.4478,101.6478
17/06/2019,US DOLLAR,101.8167,101.7167,101.9167
18/06/2019,US DOLLAR,102.0033,101.9033,102.1033
19/06/2019,US DOLLAR,102.0222,101.9222,102.1222
20/06/2019,US DOLLAR,101.9028,101.8028,102.0028
21/06/2019,US DOLLAR,101.8722,101.7722,101.9722
24/06/2019,US DOLLAR,101.8778,101.7778,101.9778
25/06/2019,US DOLLAR,101.9144,101.8144,102.0144
26/06/2019,US DOLLAR,102.1917,102.0917,102.2917
27/06/2019,US DOLLAR,102.17,102.07,102.27
28/06/2019,US DOLLAR,102.2983,102.1983,102.3983
01/07/2019,US DOLLAR,102.3606,102.2606,102.4606
02/07/2019,US DOLLAR,102.7194,102.6194,102.8194
03/07/2019,US DOLLAR,103.0011,102.9011,103.1011
04/07/2019,US DOLLAR,102.2944,102.1944,102.3944
05/07/2019,US DOLLAR,102.6306,102.5306,102.7306
08/07/2019,US DOLLAR,102.6083,102.5083,102.7083
09/07/2019,US DOLLAR,102.6917,102.5917,102.7917
10/07/2019,US DOLLAR,102.7494,102.6494,102.8494
11/07/2019,US DOLLAR,102.9222,102.8222,103.0222
12/07/2019,US DOLLAR,102.9217,102.8217,103.0217
15/07/2019,US DOLLAR,102.9542,102.8583,103.05
16/07/2019,US DOLLAR,103.0278,102.9278,103.1278
17/07/2019,US DOLLAR,103.0522,102.9522,103.1522
18/07/2019,US DOLLAR,103.0575,102.9617,103.1533
19/07/2019,US DOLLAR,103.1028,103.0028,103.2028
22/07/2019,US DOLLAR,103.2167,103.1167,103.3167
23/07/2019,US DOLLAR,103.6139,103.5139,103.7139
24/07/2019,US DOLLAR,103.7628,103.6628,103.8628
25/07/2019,US DOLLAR,104.025,103.925,104.125
26/07/2019,US DOLLAR,103.8,103.7,103.9
29/07/2019,US DOLLAR,103.8194,103.7194,103.9194
30/07/2019,US DOLLAR,104.0733,103.9733,104.1733
31/07/2019,US DOLLAR,104.2098,104.1139,104.3056
01/08/2019,US DOLLAR,104.1722,104.0722,104.2722
02/08/2019,US DOLLAR,103.2322,103.1322,103.3322
05/08/2019,US DOLLAR,103.0056,102.9056,103.1056
06/08/2019,US DOLLAR,103.2014,103.1056,103.2972
07/08/2019,US DOLLAR,103.2722,103.1722,103.3722
08/08/2019,US DOLLAR,103.4375,103.3389,103.5361
09/08/2019,US DOLLAR,103.3733,103.2761,103.4706
13/08/2019,US DOLLAR,103.0667,102.9639,103.1694
14/08/2019,US DOLLAR,103.2533,103.1533,103.3533
15/08/2019,US DOLLAR,103.2633,103.1661,103.3606
16/08/2019,US DOLLAR,103.3322,103.235,103.4294
19/08/2019,US DOLLAR,103.3817,103.2844,103.4789
20/08/2019,US DOLLAR,103.2919,103.1906,103.3933
21/08/2019,US DOLLAR,102.9694,102.8694,103.0694
22/08/2019,US DOLLAR,102.9611,102.8611,103.0611
23/08/2019,US DOLLAR,103.0583,102.9583,103.1583
26/08/2019,US DOLLAR,103.1789,103.0789,103.2789
27/08/2019,US DOLLAR,103.3228,103.2233,103.4222
28/08/2019,US DOLLAR,103.4483,103.3483,103.5483
29/08/2019,US DOLLAR,103.4839,103.3867,103.5811
30/08/2019,US DOLLAR,103.55,103.45,103.65
02/09/2019,US DOLLAR,103.5872,103.4872,103.6872
03/09/2019,US DOLLAR,103.6375,103.5389,103.7361
04/09/2019,US DOLLAR,103.825,103.725,103.925
05/09/2019,US DOLLAR,103.8211,103.7211,103.9211
06/09/2019,US DOLLAR,103.8864,103.7878,103.985
09/09/2019,US DOLLAR,103.825,103.725,103.925
10/09/2019,US DOLLAR,103.7283,103.6283,103.8283
11/09/2019,US DOLLAR,103.665,103.565,103.765
12/09/2019,US DOLLAR,103.7778,103.6778,103.8778
13/09/2019,US DOLLAR,103.7889,103.6889,103.8889
16/09/2019,US DOLLAR,103.7739,103.6739,103.8739
17/09/2019,US DOLLAR,103.7944,103.6944,103.8944
18/09/2019,US DOLLAR,103.86,103.7628,103.9572
19/09/2019,US DOLLAR,103.9133,103.8133,104.0133
20/09/2019,US DOLLAR,103.8319,103.7306,103.9333
23/09/2019,US DOLLAR,103.8319,103.7306,103.9333
24/09/2019,US DOLLAR,103.8639,103.7639,103.9639
25/09/2019,US DOLLAR,103.8283,103.7283,103.9283
26/09/2019,US DOLLAR,103.8617,103.7617,103.9617
27/09/2019,US DOLLAR,103.8167,103.7167,103.9167
30/09/2019,US DOLLAR,103.8856,103.7856,103.9856
01/10/2019,US DOLLAR,103.8572,103.7572,103.9572
02/10/2019,US DOLLAR,103.8639,103.7694,103.9583
03/10/2019,US DOLLAR,103.8617,103.7644,103.9589
04/10/2019,US DOLLAR,103.8144,103.7144,103.9144
07/10/2019,US DOLLAR,103.8406,103.7406,103.9406
08/10/2019,US DOLLAR,103.7956,103.6956,103.8956
09/10/2019,US DOLLAR,103.7806,103.6833,103.8778
11/10/2019,US DOLLAR,103.7567,103.6567,103.8567
14/10/2019,US DOLLAR,103.7678,103.6678,103.8678
15/10/2019,US DOLLAR,103.79,103.69,103.89
16/10/2019,US DOLLAR,103.7,103.6,103.8
17/10/2019,US DOLLAR,103.7139,103.6139,103.8139
18/10/2019,US DOLLAR,103.7,103.6,103.8
22/10/2019,US DOLLAR,103.7278,103.6278,103.8278
23/10/2019,US DOLLAR,103.5756,103.4756,103.6756
24/10/2019,US DOLLAR,103.5111,103.4111,103.6111
25/10/2019,US DOLLAR,103.2528,103.1528,103.3528
28/10/2019,US DOLLAR,103.5222,103.4222,103.6222
29/10/2019,US DOLLAR,103.5567,103.4567,103.6567
30/10/2019,US DOLLAR,103.4072,103.3072,103.5072
31/10/2019,US DOLLAR,103.2059,103.1088,103.3029
01/11/2019,US DOLLAR,103.2765,103.1794,103.3735
04/11/2019,US DOLLAR,103.2653,103.1682,103.3624
05/11/2019,US DOLLAR,103.2682,103.1741,103.3624
06/11/2019,US DOLLAR,103.1871,103.09,103.2841
07/11/2019,US DOLLAR,102.9529,102.8529,103.0529
08/11/2019,US DOLLAR,102.8088,102.7118,102.9059
11/11/2019,US DOLLAR,102.4971,102.3971,102.5971
12/11/2019,US DOLLAR,102.4106,102.3106,102.5106
13/11/2019,US DOLLAR,102.4206,102.3206,102.5206
14/11/2019,US DOLLAR,102.0971,101.9971,102.1971
15/11/2019,US DOLLAR,102.0765,101.9765,102.1765
18/11/2019,US DOLLAR,101.9676,101.8676,102.0676
19/11/2019,US DOLLAR,101.9294,101.8294,102.0294
20/11/2019,US DOLLAR,101.7971,101.6971,101.8971
21/11/2019,US DOLLAR,101.4765,101.3765,101.5765
22/11/2019,US DOLLAR,101.3618,101.2618,101.4618
25/11/2019,US DOLLAR,101.55,101.45,101.65
26/11/2019,US DOLLAR,102.0206,101.9206,102.1206
27/11/2019,US DOLLAR,102.4253,102.3253,102.5253
28/11/2019,US DOLLAR,102.5424,102.4424,102.6424
29/11/2019,US DOLLAR,102.8065,102.7065,102.9065
02/12/2019,US DOLLAR,102.5959,102.4959,102.6959
03/12/2019,US DOLLAR,102.6147,102.5147,102.7147
04/12/2019,US DOLLAR,102.3,102.2,102.4
05/12/2019,US DOLLAR,101.9576,101.8576,102.0576
06/12/2019,US DOLLAR,101.7529,101.6529,101.8529
09/12/2019,US DOLLAR,101.6691,101.5735,101.7647
10/12/2019,US DOLLAR,101.4159,101.3159,101.5159
11/12/2019,US DOLLAR,101.4953,101.3953,101.5953
13/12/2019,US DOLLAR,101.6676,101.5676,101.7676
16/12/2019,US DOLLAR,101.6788,101.5788,101.7788
17/12/2019,US DOLLAR,101.6224,101.5224,101.7224
18/12/2019,US DOLLAR,101.5424,101.4424,101.6424
19/12/2019,US DOLLAR,100.9006,100.8006,101.0006
20/12/2019,US DOLLAR,100.7118,100.6118,100.8118
23/12/2019,US DOLLAR,100.7,100.6,100.8
24/12/2019,US DOLLAR,100.6324,100.5324,100.7324
27/12/2019,US DOLLAR,100.7676,100.6676,100.8676
30/12/2019,US DOLLAR,101.1588,101.0588,101.2588
31/12/2019,US DOLLAR,101.3365,101.2365,101.4365
02/01/2020,US DOLLAR,101.3429,101.2429,101.4429
03/01/2020,US DOLLAR,100.9588,100.8588,101.0588
06/01/2020,US DOLLAR,100.9806,100.8806,101.0806
07/01/2020,US DOLLAR,101.0618,100.9618,101.1618
08/01/2020,US DOLLAR,101.2588,101.1588,101.3588
09/01/2020,US DOLLAR,101.4688,101.3688,101.5688
10/01/2020,US DOLLAR,101.5929,101.4929,101.6929
13/01/2020,US DOLLAR,101.3412,101.2412,101.4412
14/01/2020,US DOLLAR,101.4912,101.3912,101.5912
15/01/2020,US DOLLAR,101.3912,101.2912,101.4912
16/01/2020,US DOLLAR,101.3835,101.2835,101.4835
17/01/2020,US DOLLAR,100.9735,100.8735,101.0735
20/01/2020,US DOLLAR,100.9471,100.8471,101.0471
21/01/2020,US DOLLAR,101.0971,100.9971,101.1971
22/01/2020,US DOLLAR,101.0324,100.9324,101.1324
23/01/2020,US DOLLAR,100.8735,100.7735,100.9735
24/01/2020,US DOLLAR,100.8553,100.7553,100.9553
27/01/2020,US DOLLAR,100.8765,100.7765,100.9765
27/01/2020,US DOLLAR,100.8765,100.7765,100.9765
28/01/2020,US DOLLAR,100.8715,100.7718,100.9712
29/01/2020,US DOLLAR,100.8735,100.7735,100.9735
30/01/2020,US DOLLAR,100.7471,100.6471,100.8471
31/01/2020,US DOLLAR,100.585,100.4853,100.6847
03/02/2020,US DOLLAR,100.4412,100.3412,100.5412
04/02/2020,US DOLLAR,100.4618,100.3618,100.5618
05/02/2020,US DOLLAR,100.3512,100.2512,100.4512
06/02/2020,US DOLLAR,100.3853,100.2853,100.4853
07/02/2020,US DOLLAR,100.4471,100.3471,100.5471
10/02/2020,US DOLLAR,100.5794,100.4794,100.6794
12/02/2020,US DOLLAR,100.6265,100.5265,100.7265
13/02/2020,US DOLLAR,100.6924,100.5924,100.7924
14/02/2020,US DOLLAR,100.5794,100.4794,100.6794
17/02/2020,US DOLLAR,100.6153,100.5153,100.7153
18/02/2020,US DOLLAR,100.8853,100.7853,100.9853
19/02/2020,US DOLLAR,101.0824,100.9824,101.1824
20/02/2020,US DOLLAR,101.2482,101.1482,101.3482
21/02/2020,US DOLLAR,101.2853,101.1853,101.3853
24/02/2020,US DOLLAR,101.2324,101.1324,101.3324
25/02/2020,US DOLLAR,101.15,101.05,101.25
26/02/2020,US DOLLAR,101.13,101.03,101.23
27/02/2020,US DOLLAR,100.9265,100.8265,101.0265
28/02/2020,US DOLLAR,100.9824,100.8824,101.0824
02/03/2020,US DOLLAR,101.1647,101.0647,101.2647
03/03/2020,US DOLLAR,101.3735,101.2735,101.4735
04/03/2020,US DOLLAR,102.3765,102.2765,102.4765
05/03/2020,US DOLLAR,102.8912,102.7912,102.9912
06/03/2020,US DOLLAR,102.5529,102.4529,102.6529
09/03/2020,US DOLLAR,102.6735,102.5735,102.7735
10/03/2020,US DOLLAR,102.8982,102.7982,102.9982
11/03/2020,US DOLLAR,102.7015,102.6029,102.8
12/03/2020,US DOLLAR,102.4735,102.3735,102.5735
13/03/2020,US DOLLAR,102.4235,102.3206,102.5265
16/03/2020,US DOLLAR,102.9,102.8029,102.9971
17/03/2020,US DOLLAR,103.3853,103.2853,103.4853
18/03/2020,US DOLLAR,103.7206,103.6206,103.8206
19/03/2020,US DOLLAR,104.2235,104.1235,104.3235
20/03/2020,US DOLLAR,105.0971,104.9941,105.2
23/03/2020,US DOLLAR,106.0118,105.9029,106.1206
24/03/2020,US DOLLAR,106.5441,106.4382,106.65
25/03/2020,US DOLLAR,106.4206,106.3176,106.5235
26/03/2020,US DOLLAR,106.1971,106.0971,106.2971
27/03/2020,US DOLLAR,105.1147,105.0147,105.2147
30/03/2020,US DOLLAR,104.4474,104.3447,104.55
31/03/2020,US DOLLAR,104.6926,104.5929,104.7924
01/04/2020,US DOLLAR,105.1106,105.0076,105.2135
02/04/2020,US DOLLAR,105.1882,105.0853,105.2912
03/04/2020,US DOLLAR,105.6653,105.5653,105.7653
06/04/2020,US DOLLAR,105.905,105.8053,106.0047
07/04/2020,US DOLLAR,106.1765,106.0765,106.2765
08/04/2020,US DOLLAR,106.4741,106.3741,106.5741
09/04/2020,US DOLLAR,106.0035,105.9035,106.1035
14/04/2020,US DOLLAR,105.9088,105.8088,106.0088
15/04/2020,US DOLLAR,105.9034,105.8038,106.0031
16/04/2020,US DOLLAR,105.9088,105.8088,106.0088
17/04/2020,US DOLLAR,106.2029,106.1029,106.3029
20/04/2020,US DOLLAR,106.7941,106.6941,106.8941
21/04/2020,US DOLLAR,106.8824,106.7824,106.9824
22/04/2020,US DOLLAR,106.9941,106.8941,107.0941
23/04/2020,US DOLLAR,107.1412,107.0412,107.2412
24/04/2020,US DOLLAR,107.2444,107.1447,107.3441
27/04/2020,US DOLLAR,106.9265,106.8265,107.0265
28/04/2020,US DOLLAR,107.2382,107.1382,107.3382
29/04/2020,US DOLLAR,107.275,107.1753,107.3747
30/04/2020,US DOLLAR,107.2915,107.1918,107.3912
04/05/2020,US DOLLAR,107.265,107.1653,107.3647
05/05/2020,US DOLLAR,106.6091,106.5094,106.7088
06/05/2020,US DOLLAR,106.3091,106.2094,106.4088
07/05/2020,US DOLLAR,106.0768,105.9771,106.1765
08/05/2020,US DOLLAR,106.0088,105.9088,106.1088
11/05/2020,US DOLLAR,106.0268,105.9271,106.1265
12/05/2020,US DOLLAR,106.1385,106.0388,106.2382
13/05/2020,US DOLLAR,106.5276,106.4276,106.6276
14/05/2020,US DOLLAR,106.5947,106.4947,106.6947
15/05/2020,US DOLLAR,106.8112,106.7112,106.9112
18/05/2020,US DOLLAR,107.0353,106.9353,107.1353
19/05/2020,US DOLLAR,106.69,106.59,106.79
20/05/2020,US DOLLAR,106.8,106.7,106.9
21/05/2020,US DOLLAR,106.8894,106.7894,106.9894
22/05/2020,US DOLLAR,106.9694,106.8694,107.0694
26/05/2020,US DOLLAR,107.0076,106.9076,107.1076
27/05/2020,US DOLLAR,107.1088,107.0088,107.2088
28/05/2020,US DOLLAR,107.0265,106.9265,107.1265
29/05/2020,US DOLLAR,106.9435,106.8435,107.0435
02/06/2020,US DOLLAR,106.7982,106.6982,106.8982
03/06/2020,US DOLLAR,106.4488,106.3488,106.5488
04/06/2020,US DOLLAR,106.1235,106.0235,106.2235
05/06/2020,US DOLLAR,106.0871,105.9871,106.1871
08/06/2020,US DOLLAR,106.14,106.04,106.24
09/06/2020,US DOLLAR,106.2971,106.1971,106.3971
10/06/2020,US DOLLAR,106.43,106.33,106.53
11/06/2020,US DOLLAR,106.5971,106.4971,106.6971
12/06/2020,US DOLLAR,106.5047,106.4047,106.6047
15/06/2020,US DOLLAR,106.45,106.35,106.55
16/06/2020,US DOLLAR,106.4912,106.3912,106.5912
17/06/2020,US DOLLAR,106.4853,106.3853,106.5853
18/06/2020,US DOLLAR,106.3206,106.2206,106.4206
19/06/2020,US DOLLAR,106.2882,106.1882,106.3882
22/06/2020,US DOLLAR,106.3265,106.2265,106.4265
23/06/2020,US DOLLAR,106.4194,106.3194,106.5194
24/06/2020,US DOLLAR,106.3694,106.2694,106.4694
25/06/2020,US DOLLAR,106.4029,106.3029,106.5029
26/06/2020,US DOLLAR,106.51,106.41,106.61
29/06/2020,US DOLLAR,106.4576,106.3576,106.5576
30/06/2020,US DOLLAR,106.5224,106.4224,106.6224
01/07/2020,US DOLLAR,106.5488,106.4488,106.6488
02/07/2020,US DOLLAR,106.54,106.44,106.64
03/07/2020,US DOLLAR,106.6662,106.5665,106.7659
06/07/2020,US DOLLAR,106.6106,106.5106,106.7106
07/07/2020,US DOLLAR,106.5912,106.4912,106.6912
08/07/2020,US DOLLAR,106.7471,106.6471,106.8471
09/07/2020,US DOLLAR,106.9618,106.8618,107.0618
10/07/2020,US DOLLAR,106.9003,106.8006,107
13/07/2020,US DOLLAR,107.0512,106.9512,107.1512
14/07/2020,US DOLLAR,107.1471,107.0476,107.2465
15/07/2020,US DOLLAR,107.285,107.1853,107.3847
16/07/2020,US DOLLAR,107.3494,107.2494,107.4494
17/07/2020,US DOLLAR,107.4582,107.3582,107.5582
20/07/2020,US DOLLAR,107.4329,107.3329,107.5329
21/07/2020,US DOLLAR,107.6209,107.5212,107.7206
22/07/2020,US DOLLAR,107.8797,107.78,107.9794
23/07/2020,US DOLLAR,108.1288,108.0288,108.2288
24/07/2020,US DOLLAR,108.02,107.92,108.12
27/07/2020,US DOLLAR,107.7888,107.6888,107.8888
28/07/2020,US DOLLAR,107.7191,107.6188,107.8194
29/07/2020,US DOLLAR,107.7118,107.6118,107.8118
30/07/2020,US DOLLAR,107.7074,107.6076,107.8071
03/08/2020,US DOLLAR,107.7118,107.6118,107.8118
04/08/2020,US DOLLAR,107.8174,107.7176,107.9171
05/08/2020,US DOLLAR,107.8941,107.7941,107.9941
06/08/2020,US DOLLAR,107.9459,107.8459,108.0459
07/08/2020,US DOLLAR,108.0024,107.9024,108.1024
10/08/2020,US DOLLAR,108.0294,107.9294,108.1294
11/08/2020,US DOLLAR,108.1162,108.0165,108.2159
12/08/2020,US DOLLAR,108.3329,108.2329,108.4329
13/08/2020,US DOLLAR,108.3918,108.2918,108.4918
14/08/2020,US DOLLAR,108.2897,108.19,108.3894
17/08/2020,US DOLLAR,108.3185,108.2188,108.4182
18/08/2020,US DOLLAR,108.3129,108.2129,108.4129
19/08/2020,US DOLLAR,108.4206,108.3206,108.5206
20/08/2020,US DOLLAR,108.5588,108.4588,108.6588
21/08/2020,US DOLLAR,108.0088,107.9088,108.1088
24/08/2020,US DOLLAR,108.0147,107.9147,108.1147
25/08/2020,US DOLLAR,108.0379,107.9382,108.1376
26/08/2020,US DOLLAR,108.1203,108.0206,108.22
27/08/2020,US DOLLAR,108.1529,108.0529,108.2529
28/08/2020,US DOLLAR,108.2221,108.1224,108.3218
31/08/2020,US DOLLAR,108.2088,108.1088,108.3088
01/09/2020,US DOLLAR,108.2147,108.1147,108.3147
02/09/2020,US DOLLAR,108.2615,108.1618,108.3612
03/09/2020,US DOLLAR,108.3029,108.2029,108.4029
04/09/2020,US DOLLAR,108.3224,108.2224,108.4224
07/09/2020,US DOLLAR,108.3282,108.2282,108.4282
08/09/2020,US DOLLAR,108.3353,108.2353,108.4353
09/09/2020,US DOLLAR,108.3735,108.2735,108.4735
10/09/2020,US DOLLAR,108.3971,108.2971,108.4971
11/09/2020,US DOLLAR,108.4488,108.3488,108.5488
14/09/2020,US DOLLAR,108.5,108.4,108.6
15/09/2020,US DOLLAR,108.5559,108.4559,108.6559
16/09/2020,US DOLLAR,108.6379,108.5382,108.7376
17/09/2020,US DOLLAR,108.3794,108.2794,108.4794
18/09/2020,US DOLLAR,108.3912,108.2912,108.4912
21/09/2020,US DOLLAR,108.4,108.3,108.5
22/09/2020,US DOLLAR,108.3618,108.2618,108.4618
23/09/2020,US DOLLAR,108.4176,108.3176,108.5176
24/09/2020,US DOLLAR,108.4126,108.3129,108.5124
25/09/2020,US DOLLAR,108.4691,108.3694,108.5688
28/09/2020,US DOLLAR,108.4779,108.3782,108.5776
29/09/2020,US DOLLAR,108.4879,108.3882,108.5876
30/09/2020,US DOLLAR,108.4971,108.3971,108.5971
01/10/2020,US DOLLAR,108.4471,108.3471,108.5471
02/10/2020,US DOLLAR,108.4853,108.3853,108.5853
05/10/2020,US DOLLAR,108.4921,108.3924,108.5918
06/10/2020,US DOLLAR,108.5026,108.4029,108.6024
07/10/2020,US DOLLAR,108.5276,108.4276,108.6276
08/10/2020,US DOLLAR,108.5294,108.4294,108.6294
09/10/2020,US DOLLAR,108.5168,108.4171,108.6165
12/10/2020,US DOLLAR,108.5262,108.4265,108.6259
13/10/2020,US DOLLAR,108.5497,108.45,108.6494
14/10/2020,US DOLLAR,108.5853,108.4853,108.6853
15/10/2020,US DOLLAR,108.6053,108.5053,108.7053
16/10/2020,US DOLLAR,108.6224,108.5224,108.7224
19/10/2020,US DOLLAR,108.6765,108.5765,108.7765
21/10/2020,US DOLLAR,108.7185,108.6188,108.8182
22/10/2020,US DOLLAR,108.7482,108.6482,108.8482
23/10/2020,US DOLLAR,108.7735,108.6735,108.8735
26/10/2020,US DOLLAR,108.7882,108.6882,108.8882
27/10/2020,US DOLLAR,108.8265,108.7265,108.9265
28/10/2020,US DOLLAR,108.8353,108.7353,108.9353
29/10/2020,US DOLLAR,108.8265,108.7265,108.9265
30/10/2020,US DOLLAR,108.8188,108.7188,108.9188
02/11/2020,US DOLLAR,108.8324,108.7324,108.9324
03/11/2020,US DOLLAR,108.8382,108.7382,108.9382
04/11/2020,US DOLLAR,108.8647,108.7647,108.9647
05/11/2020,US DOLLAR,108.8682,108.7682,108.9682
06/11/2020,US DOLLAR,108.9059,108.8059,109.0059
09/11/2020,US DOLLAR,108.9182,108.8182,109.0182
10/11/2020,US DOLLAR,108.9347,108.8347,109.0347
11/11/2020,US DOLLAR,108.9665,108.8665,109.0665
12/11/2020,US DOLLAR,109.0341,108.9341,109.1341
13/11/2020,US DOLLAR,109.1118,109.0118,109.2118
